"Category","Restaurant.Address","Restaurant.Name","Restaurant.Price.Range","Review.Rate","location"
6,"1501 Gerrard Street East
Toronto, ON M4L 2A4","Pizzeria Via Mercanti",2,1.1,"43.67245, -79.319633"
2,"546 Dundas Street W
Toronto, ON M5T 1H3","Kim Vietnamese Restaurant",1,4.5,"43.652774, -79.3994"
7,"668 Bloor St W
Toronto, ON M6G 1L2","KINTON RAMEN",2,4.5,"43.664086, -79.416326"
6,"1151 Davenport Road
Toronto, ON M6H 2G4","Dante’s Inferno Paninoteca",2,3.2,"43.674561, -79.431663"
7,"10 Lebovic Avenue
Toronto, ON M1L 4V9","Tatami Sushi",2,0.3,"43.724247, -79.290298"
2,"5306 Yonge Street
Toronto, ON M2N 0E3","Hey Noodles",2,2.6,"43.772847, -79.414106"
7,"459 Church Street
Toronto, ON M4Y 4C5","Kintaro Izakaya",2,0.8,"43.664158, -79.380274"
3,"990 Danforth Avenue
Toronto, ON M4J 1L9","City Fried Chicken and Pizza",1,4.6,"43.680521, -79.337494"
1,"1560 Yonge St
Unit 107
Toronto, ON M4T 2S9","Swiss Chalet Rotisserie & Grill",2,1.3,"43.68993, -79.394941"
2,"459 Church Street
Toronto, ON M4Y 4C5","Kintaro Izakaya",2,3,"43.664158, -79.380274"
7,"2766 Victoria Park Avenue
Toronto, ON M2J 4A8","Aoyama Sushi Restaurant",3,1.4,"43.78646, -79.328892"
3,"619 McCowan Road
Suite 3
Toronto, ON M1J 1K2","Subway",1,2.2,"43.753619, -79.244234"
8,"4941 Dundas Street W
Toronto, ON M9A 1B6","Insadong",1,4.4,"43.647926, -79.529298"
6,"2343 Queen Street E
Toronto, ON M4E 1H2","Veloute Bistro & Catering",3,0.8,"43.672218, -79.289782"
6,"3353 Yonge Street
Toronto, ON M4N 2M6","The Monkey Bar",3,3.8,"43.731489, -79.403703"
1,"41 Milner Avenue
Toronto, ON M1S 3P6","Kingsmen Pub & Grill",2,1.7,"43.783669, -79.253191"
6,"2899 Dufferin Street
Toronto, ON M6B 3S7","Camarra’s Pizzeria & Restaurant",2,4.2,"43.708396, -79.453323"
10,"82 Ontario Street
Toronto, ON M5A 2V3","Mengrai Thai",2,1.7,"43.654071, -79.367148"
3,"1568 Danforth Avenue
Toronto, ON M4J 1N8","Subway",1,4.1,"43.683339, -79.323741"
10,"546 Dundas Street W
Toronto, ON M5T 1H3","Kim Vietnamese Restaurant",1,3.1,"43.652774, -79.3994"
10,"1881 Yonge Street
Toronto, ON M4S 3C4","Thai Express",2,0.7,"43.697534, -79.396294"
7,"1865 Leslie Street
Toronto, ON M3B 2M3","Hamaru Sushi",2,2.2,"43.75523, -79.3599"
10,"638 College Street
Toronto, ON M6G 1B4","Urban Thai",2,4.6,"43.655067, -79.415451"
9,"1618 Bayview Ave
Toronto, ON M4S 1T3","Mexico Lindo",2,4.4,"43.707948, -79.376303"
1,"2050 Yonge St.
Toronto, ON M4S 1Z9","St. Louis Bar & Grill",2,0.7,"43.701559, -79.39763"
8,"606 Bloor Street W
Toronto, ON M6G 1K4","Bryan’s BBQ Real Korean",2,0.4,"43.664784, -79.413338"
2,"5306 Yonge Street
Toronto, ON M2N 0E3","Hey Noodles",2,1.7,"43.772847, -79.414106"
10,"2326 Danforth Ave
Toronto, ON M4C 1K7","Basil Thai Kitchen",2,0.3,"43.687183, -79.307054"
3,"645 Yonge Street
Toronto, ON M4Y 1Z9","Popeyes Louisiana Kitchen",2,1.8,"43.667901, -79.385628"
3,"25 York St
Toronto, ON M5J 2V5","Fit For Life",2,2.4,"43.643477, -79.381114"
7,"20 Carlton Street
Toronto, ON M5B 2H5","Daily Sushi Japanese Restaurant",2,0.5,"43.661637, -79.381681"
3,"717 Bay Street
Toronto, ON M5G 2J9","Subway",1,3.7,"43.658809, -79.384655"
7,"2222 Queen Street E
Toronto, ON M4E 1E9","Kyouka Ramen",2,2.1,"43.672683, -79.288133"
2,"638 Dundas Street W
Toronto, ON M5T 1H8","Greens Vegetarian Restaurant",2,1.4,"43.652093, -79.402622"
2,"1571 Sandhurst Circle
Toronto, ON M1V 1V2","Casa Deluz Banquet Hall",2,4.5,"43.809201, -79.268153"
7,"Food Court At Aura
384 Yonge Street
Unit 57
Toronto, ON M5B 1S8","Sushi & BBbop",2,3.2,"43.659154, -79.382143"
6,"502 Eglinton Avenue W
Toronto, ON M5N 1A5","Ferraro 502",2,4.9,"43.703793, -79.413291"
7,"459 Church Street
Toronto, ON M4Y 4C5","Kintaro Izakaya",2,2.9,"43.664158, -79.380274"
6,"2 Invergordon Avenue
Toronto, ON M1S 2Y8","Francesca Italian Bakery & Delicatessen",2,3.4,"43.78759, -79.256391"
9,"277 Augusta Ave
Toronto, ON M5T 2M1","El Trompo Taco Bar",2,3,"43.655915, -79.402315"
9,"First Canadian Place
100 King Street W
Toronto, ON M5X 1C9","Mucho Burrito",2,2.6,"43.651479, -79.382401"
9,"4 Greenwood Avenue
Toronto, ON M4L 2P4","Chino Locos Original",1,2.7,"43.664482, -79.325501"
1,"600 Dixon Rd
Toronto, ON M9W 1J1","Perkins Restaurant & Bakery",2,3.1,"43.692686, -79.572725"
9,"933 Saint Clair Avenue W
Toronto, ON M6C 1C7","Tenoch Restaurant",2,4.4,"43.679544, -79.435153"
6,"1193 Bloor Street W
Toronto, ON M6H 1N4","Pizza Pizza",2,2.5,"43.658904, -79.439363"
5,"64 Overlea Boulevard
Unit 10
Toronto, ON M4H 1C4","Pasha Authentic Turkish Cuisine",2,0.3,"43.708364, -79.342651"
11,"812 Bloor Street W
Toronto, ON M6G 1L9","Pero Restaurant & Lounge",2,2.5,"43.662795, -79.422739"
8,"19C Finch Avenue W
Toronto, ON M2N 7K4","Cheers Chicken & Beers",2,4.1,"43.779226, -79.417324"
7,"409 Spadina Ave
Toronto, ON M5T 2G6","James Cheese Back Ribs",2,1.6,"43.65687, -79.39924"
7,"2625 Weston Road
Unit 31
Toronto, ON M9N 3V9","Wakame Sushi",2,1.6,"43.711688, -79.53126"
2,"3833 Midland Avenue
Unit 9B
Toronto, ON M1V 5L6","West Street Cuisine",1,1.5,"43.813658, -79.291422"
9,"872 Bloor Street W
Toronto, ON M6G 1M5","La Bella Managua",2,2.7,"43.662231, -79.42499"
6,"2088 Yonge Street
Toronto, ON M4S 2A3","Five Doors North",3,3.1,"43.702215, -79.397614"
5,"216C Close Avenue
Toronto, ON M6K 2V5","Loga’s Corner",1,0.3,"43.640353, -79.435923"
6,"807 Yonge St
Toronto, ON M4W 2G9","Mamma’s Pizza",1,3.9,"43.672242, -79.387434"
12,"1135 Queen St E
Toronto, ON M4M 1K9","Hanoi 3 Seasons",2,0.1,"43.66208, -79.334507"
7,"783 Danforth Ave
Toronto, ON M4J 1L2","Aji Sai Japanese Restaurant",2,4,"43.679352, -79.341659"
7,"23 Charles Street W
Toronto, ON M4Y 2R4","Okonomi House Restaurant",1,0.1,"43.668311, -79.387134"
6,"310 Front Street W
Toronto, ON M5V 3B5","Java Joes",1,2.3,"43.64396, -79.39021"
3,"2202 Jane Street
Toronto, ON M3M 1A4","Popeyes Louisiana Kitchen",1,2.8,"43.722307, -79.510892"
7,"325 Bremner Boulevard
Toronto, ON M5V","Mi-Ne Sushi",2,4.4,"43.640518, -79.390864"
7,"1314 Queen Street W
Toronto, ON M6K 1L4","Guu Izakaya Toronto",2,1.7,"43.641867, -79.43109"
2,"216C Close Avenue
Toronto, ON M6K 2V5","Loga’s Corner",1,1.3,"43.640353, -79.435923"
5,"836 Markham Road
Toronto, ON M1H 2Y2","Mirchi Dhaba",1,0.7,"43.767255, -79.228254"
8,"710 Yonge St
Toronto, ON M4Y 2B3","Kobi Korean Restaurant",2,3.3,"43.668188, -79.386203"
1,"Toronto, ON","Food Cabbie",1,1,"43.653226, -79.383184"
2,"58 Centre Avenue
Toronto, ON M5G 1R5","Wah Too",2,0,"43.654921, -79.387081"
6,"Yordale Shopping Centre
3401 Dufferin St
Toronto, ON M6A 3A1","Espressamente illy",2,3.3,"43.726452, -79.452653"
3,"145 Wellington Street W
Toronto, ON M5J 1H8","Lite Bite",1,0.2,"43.645955, -79.385003"
7,"214 Laird Drive
Suite 101
Toronto, ON M4G 3W4","Kintako Japanese Restaurant",2,2.6,"43.711488, -79.364093"
3,"874 Eglinton Avenue E
Toronto, ON M4G 2L1","Urbun Eats Co",2,3,"43.71367, -79.365092"
8,"6016 yonge street
Toronto, ON M2M 3W2","Kookminhakgyo",2,3.1,"43.789107, -79.417852"
4,"200 Wellington Street W
Toronto, ON M5V 3C7","Harvest Green",1,2.2,"43.645852, -79.387863"
6,"3353 Yonge Street
Toronto, ON M4N 2M6","The Monkey Bar",3,1.3,"43.731489, -79.403703"
10,"2451 Lakeshore Boulevard W
Toronto, ON M8V 1C5","Nimman Thai Cuisine",2,1.5,"43.613485, -79.489297"
5,"2950 Kennedy Road
Unit 3
Toronto, ON M1V 1T1","Bavu Villas",1,2.6,"43.80465, -79.299389"
10,"3300 Bloor St W
Toronto, ON M8X 1E9","Thai Express",2,2.1,"43.64499, -79.522313"
6,"604 King Street W
Toronto, ON M5V 1M6","Buca",3,3.1,"43.644512, -79.400362"
6,"591 College Street
Toronto, ON M6G 1B2","Trattoria Taverniti",2,3.9,"43.655147, -79.413513"
7,"335 Bloor Street W
Toronto, ON M5S 1W7","Gyubee Japanese BBQ - Downtown",2,2.5,"43.66696, -79.400872"
3,"2665 Lawrence Avenue E
Toronto, ON M1P 2S2","City Fried Chicken",1,3,"43.751904, -79.263069"
12,"358 Bathurst Street
Toronto, ON M5T 2S7","Pho Tien",1,3.8,"43.652774, -79.406229"
2,"5987 Bathurst Street
Toronto, ON M2R","Kosher Wok and Roll",2,3.1,"43.786335, -79.445581"
5,"4777 Leslie Street
Toronto, ON M2J 2K8","Jerusalem Restaurant",2,3.5,"43.778937, -79.363867"
7,"177 Dundas Street W
Toronto, ON M5G 1C7","Gyugyuya",2,3.8,"43.655055, -79.386453"
3,"1194 King St W
Toronto, ON M6K 1E6","Burger King",1,4.9,"43.639201, -79.427055"
6,"145 King Street W
Toronto, ON M5H 4G2","Modus Ristorante",3,1.3,"43.647469, -79.384193"
6,"545 King Street W
Toronto, ON M5V 1M1","Pizzeria Libretto",2,3.2,"43.644503, -79.398811"
9,"569 College Street
Toronto, ON M6G 1B2","Reverie at The Park",3,3.4,"43.65516, -79.412779"
9,"3803 Lakeshore Boulevard W
Toronto, ON M8W 1R2","Burrito Boyz",1,3.9,"43.592484, -79.542215"
6,"1262 Don Mills Road
Toronto, ON M3B 2W7","Baretto Caffe",1,2.5,"43.744768, -79.346527"
3,"55 University Ave
Toronto, ON M5J 2H7","Wendy’s",1,4.9,"43.646808, -79.383929"
5,"804 Eglinton Avenue E
Toronto, ON M4G 2L1","Mt Everest Restaurant",2,0.1,"43.713212, -79.366619"
9,"1986 Bloor Street W
Toronto, ON M6P 3K9","Aztec’s Mine",2,0.3,"43.65302, -79.468499"
1,"2452 Sheppard Avenue E
Toronto, ON M2J 4W6","Chuck E. Cheese’s",1,2.8,"43.775773, -79.325493"
12,"883 Wilson Avenue
Toronto, ON M3K 1E6","Forget Me Not Cafe",2,2.5,"43.730669, -79.466626"
6,"2088 Yonge Street
Toronto, ON M4S 2A3","Five Doors North",3,2.3,"43.702215, -79.397614"
2,"321 Spadina Ave
Toronto, ON M5T 2E9","Ding Dong Pastries",1,1.4,"43.654337, -79.398451"
5,"3108 Dundas Street W
Toronto, ON M6P 2A1","Leela Indian Food Bar",2,4.1,"43.665686, -79.473764"
6,"244 Jane Street
Toronto, ON M6S 3Y8","Campo",2,0.2,"43.655118, -79.486959"
7,"81 Church Street
Toronto, ON M5C 2G2","Gyu-Kaku Japanese BBQ",3,0.8,"43.651606, -79.374881"
6,"850 King Street W
Toronto, ON M5V 1P1","Morso Me",2,4.2,"43.642893, -79.40846"
11,"64 Oxford Street
Toronto, ON M5T 1P1","Urban Herbivore",2,2,"43.656097, -79.402684"
6,"2088 Yonge Street
Toronto, ON M4S 2A3","Five Doors North",3,4.2,"43.702215, -79.397614"
2,"20 Bay Street
Toronto, ON M5J 2N8","Shanghai 360",1,1.7,"43.64127, -79.377443"
2,"4186 Finch Ave East
Unit 20
Toronto, ON M1S 5C2","Chicken King",1,2.4,"43.803388, -79.287853"
3,"60 Yonge Street
Unit 65
Toronto, ON M5E 1H5","Subway",1,1.3,"43.648312, -79.377685"
12,"370 Yonge Street
Toronto, ON M5B 1S5","Thai On Yonge",2,4.8,"43.65855, -79.382072"
2,"4020 Finch Avenue E
Toronto, ON M1S 3T6","Fishman Lobster Clubhouse Restaurant",3,5,"43.801976, -79.295159"
7,"459 Church Street
Toronto, ON M4Y 4C5","Kintaro Izakaya",2,2.3,"43.664158, -79.380274"
1,"1749 Avenue Road
Toronto, ON M5M 3Y8","Safari Bar & Grill",2,1,"43.729049, -79.41802"
8,"1314 Queen Street W
Toronto, ON M6K 1L4","Guu Izakaya Toronto",2,1.8,"43.641867, -79.43109"
6,"304 Richmond Street W
Toronto, ON M5V 3M6","Thoroughbred Food & Drink",3,0.2,"43.648949, -79.391628"
6,"320 Queen Street E
Toronto, ON M5A 1S8","Basso Pizzeria",2,1.9,"43.655546, -79.365266"
5,"804 Eglinton Avenue E
Toronto, ON M4G 2L1","Mt Everest Restaurant",2,2.4,"43.713212, -79.366619"
2,"328 Spadina Avenue
Toronto, ON M5T 2E7","Dumpling House Restaurant",1,0.1,"43.65379, -79.398698"
7,"2564 Yonge Street
Toronto, ON M4P 2J3","Sushi Shop",2,3.5,"43.71368, -79.400126"
3,"3317 Dufferin Street
Toronto, ON M6A 2T7","Popeyes Louisiana Kitchen",2,0.6,"43.722557, -79.456568"
9,"690 Euclid Avenue
Toronto, ON M6G 2T9","Los Guaca-Moles",2,2.6,"43.664546, -79.415312"
2,"900 Albion Road
Unit 18
Toronto, ON M9V 1A5","Golden Joy Hakka Restaurant",1,4.2,"43.735588, -79.559843"
2,"5505 Leslie Street
Finch Leslie Square
Toronto, ON M2H 3B6","Paradise Fine Chinese Dining",2,3.7,"43.791205, -79.367711"
2,"216C Close Avenue
Toronto, ON M6K 2V5","Loga’s Corner",1,1.1,"43.640353, -79.435923"
2,"2301 Brimley Road
Toronto, ON M1S","Hong Kong Style Tea & Fast Food",1,4.9,"43.797708, -79.272237"
3,"1601 St Clair Avenue W
Toronto, ON M6E 1C9","Dairy Freeze",1,3.5,"43.675117, -79.454884"
2,"5197 Yonge Street
Toronto, ON M2N 5P8","Pho 88 North York",1,1.2,"43.770472, -79.412988"
7,"2222 Queen Street E
Toronto, ON M4E 1E9","Kyouka Ramen",2,3.9,"43.672683, -79.288133"
8,"586 Bloor St W
Toronto, ON M6G 1K4","Kimchi House",2,4.9,"43.664958, -79.41275"
9,"133 Jefferson Avenue
Toronto, ON M6K 3E4","Maizal",2,0.7,"43.638898, -79.421843"
7,"1314 Queen Street W
Toronto, ON M6K 1L4","Guu Izakaya Toronto",2,2.9,"43.641867, -79.43109"
6,"330 Bay Street
Toronto, ON M5H 2S8","Locale Mercatto",2,4.8,"43.650034, -79.381209"
6,"540 King Street W
Toronto, ON M5V 1M3","Pizza Pizza",1,0.9,"43.645094, -79.39807"
10,"534 Church Street
Toronto, ON M4Y","Si Lom Thai Bistro",2,3.9,"43.665007, -79.380811"
4,"2075 Yonge Street
Toronto, ON M4S 2A4","Coquine Restaurant",3,1.5,"43.702552, -79.397282"
7,"459 Church Street
Toronto, ON M4Y 4C5","Kintaro Izakaya",2,0.7,"43.664158, -79.380274"
5,"1376 Queen Street W
Toronto, ON M6K 1L7","Bacchus Roti Shop",2,3.2,"43.64131, -79.433222"
8,"4846 Yonge Street
Toronto, ON M2N 6B1","Lee Nam Jang",2,4.7,"43.762475, -79.411543"
3,"874 Eglinton Avenue E
Toronto, ON M4G 2L1","Urbun Eats Co",2,4.4,"43.71367, -79.365092"
3,"874 Eglinton Avenue E
Toronto, ON M4G 2L1","Urbun Eats Co",2,4.1,"43.71367, -79.365092"
8,"642 Bloor Street W
Toronto, ON M6G 1K9","Barrio Coreano",2,2.4,"43.664524, -79.415067"
2,"2300 Lawrence Ave E
Unit 11
Toronto, ON M1P 2K9","Golden Lobsters Chinese Hakka Restaurant",1,0.9,"43.74965, -79.277048"
6,"1095 Yonge Street
Toronto, ON M4W 2L8","Terroni",3,3.5,"43.680011, -79.390519"
8,"1524 Danforth Avenue
Toronto, ON M4J 1N4","Yanagi Sushi",2,2.5,"43.683238, -79.32486"
7,"64B Queen Street E
Toronto, ON M5B 1Y4","TCJ Restaurant",2,3.2,"43.653327, -79.375561"
3,"874 Eglinton Avenue E
Toronto, ON M4G 2L1","Urbun Eats Co",2,0.9,"43.71367, -79.365092"
9,"1072 Don Mills Rd
Toronto, ON M4P 2C9","Chipotle Mexican Grill",2,1.5,"43.736359, -79.343318"
6,"516 Eglinton Avenue W
Toronto, ON M5N 1A5","7 Numbers Restaurant",2,4,"43.703522, -79.413709"
7,"5629 Yonge Street
Toronto, ON M2M 3S9","Mega Street Food Complex",2,3.4,"43.78062, -79.415513"
7,"24 Bellair Street
Toronto, ON M4W 1A7","Yamato Japanese Restaurant",3,3.2,"43.670701, -79.391143"
9,"2586 Birchmount Road
Toronto, ON M1T 2M5","Mexico Lindo",2,4.9,"43.790011, -79.30213"
10,"2063 Danforth Avenue
Toronto, ON M4C","Thai Room",2,1.8,"43.685475, -79.313143"
2,"3278 Midland Avenue
Toronto, ON M1V","Harbin Bbq",2,4.5,"43.805864, -79.287844"
2,"216C Close Avenue
Toronto, ON M6K 2V5","Loga’s Corner",1,2.4,"43.640353, -79.435923"
2,"149 Ravel Road
Unit B
Toronto, ON M2H 1T1","Tasty Delight Fusion Cuisine",1,0.6,"43.791579, -79.366747"
7,"1314 Queen Street W
Toronto, ON M6K 1L4","Guu Izakaya Toronto",2,4.8,"43.641867, -79.43109"
5,"Eaton Centre
220 Yonge St
Toronto, ON M5B 2L7","Amaya Express",2,0.1,"43.654067, -79.380082"
6,"808 York Mills Rd
Toronto, ON M3B","Mamma’s Pizza",2,0.9,"43.754089, -79.357989"
3,"1801 Lawrence Avenue E
Toronto, ON M1R 2X9","Pizza Land",2,3.2,"43.742424, -79.305327"
7,"1835 Yonge Street
Suite 101
Toronto, ON M4S 1X8","Bikkuri Japanese Restaurant",2,4.4,"43.696722, -79.395775"
2,"3838 Midland Avenue
Toronto, ON M1V","Dong Kee",2,3.5,"43.819195, -79.295442"
12,"630 St Clair Avenue W
Toronto, ON M6C 1A9","Green Pepper",1,4.9,"43.682309, -79.42383"
9,"872 Bloor Street W
Toronto, ON M6G 1M5","La Bella Managua",2,2.7,"43.662231, -79.42499"
8,"700 Bloor St W
Toronto, ON M6G","Owl of Minerva",2,1.2,"43.663956, -79.41755"
2,"434 College St
Toronto, ON M4W 1A7","Nirvana",2,4.7,"43.656571, -79.40712"
7,"1314 Queen Street W
Toronto, ON M6K 1L4","Guu Izakaya Toronto",2,0.5,"43.641867, -79.43109"
3,"35 Eglinton Avenue E
Toronto, ON M4P 1A1","A&W",1,1.4,"43.706744, -79.397141"
